Device_Name,IP_Address,Frequency,,,,,,
4137 Haseltine Rd NBM365 .39,10.4.137.39,3661,,,,,,
4137 Haseltine Rd C2 .26,10.4.137.26,2437,,,,,,
4137 Haseltine Rd C2 .21,10.4.137.21,2457,,,,,,
4137 Haseltine Rd C2 .20,10.4.137.20,2415,,,,,,
4127 Black Oak Mtn C9 .96,10.4.127.96,906,,,,,,
4127 Black Oak Mtn C9 .95,10.4.127.95,None,,,,,,
4127 Black Oak Mtn C9 .94,10.4.127.94,906,,,,,,
4127 Black Oak Mtn C9 .90,10.4.127.90,924,,,,,,
4127 Black Oak Mtn RM5 .53,10.4.127.53,5275,,,,,,
4127 Black Oak Mtn NSM365 .34,10.4.127.34,3661,,,,,,
4127 Black Oak Mtn RM2 .29,10.4.127.29,2417,,,,,,
4127 Black Oak Mtn RM2 .21,10.4.127.21,2437,,,,,,
4127 Black Oak Mtn C9 .20,10.4.127.20,None,,,,,,
4125 Cape Fair C9 .96,10.4.125.96,924,,,,,,
4125 Cape Fair C9 .95,10.4.125.95,915,,,,,,
4125 Cape Fair C9 .94,10.4.125.94,906,,,,,,
4125 Cape Fair C9 .92,10.4.125.92,None,,,,,,
4125 Cape Fair C9 .91,10.4.125.91,906,,,,,,
4125 Cape Fair C5 .50,10.4.125.50,5300,,,,,,
4125 Cape Fair RM2 .26,10.4.125.26,2464,,,,,,
4125 Cape Fair RM2 .23,10.4.125.23,2412,,,,,,
4125 Cape Fair RM2 .21,10.4.125.21,2437,,,,,,
4124 Reeds Spring C9 .96,10.4.124.96,924,,,,,,
4124 Reeds Spring C9 .95,10.4.124.95,915,,,,,,
4124 Reeds Spring C9 .94,10.4.124.94,906,,,,,,
4124 Reeds Spring C9 .93,10.4.124.93,None,,,,,,
4124 Reeds Spring C9 .92,10.4.124.92,915,,,,,,
4124 Reeds Spring C9 .91,10.4.124.91,906,,,,,,
4124 Reeds Spring RM5 .59,10.4.124.59,5160,,,,,,
4124 Reeds Spring C5 .55,10.4.124.55,5325,,,,,,
4124 Reeds Spring RM5 .54,10.4.124.54,5550,,,,,,
4124 Reeds Spring C5 .50,10.4.124.50,5275,,,,,,
4123 Draper C9 .96,10.4.123.96,915,,,,,,
4123 Draper C9 .93,10.4.123.93,906,,,,,,
4123 Draper C9 .90,10.4.123.90,924,,,,,,
4123 Draper C2 .20,10.4.123.20,2457,,,,,,
4121 Tablerock Healthcare C9 .96,10.4.121.96,924,,,,,,
